It took 23.9388029575 seconds to calculate the Mandelbrot graph.
It took 0.235138893127 seconds to dump the image.
         558867 function calls (553552 primitive calls) in 24.738 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       72    0.000    0.000    0.013    0.000 font_manager.py:1478(findfont)
       36    0.001    0.000    0.013    0.000 backend_agg.py:194(draw_text)
       72    0.002    0.000    0.013    0.000 font_manager.py:1260(findfont)
        1    0.002    0.002    0.013    0.013 _internal.py:6(<module>)
       20    0.010    0.000    0.012    0.001 collections.py:305(namedtuple)
        1    0.000    0.000    0.012    0.012 pyparsing.py:6381(pyparsing_common)
       64    0.002    0.000    0.012    0.000 colors.py:709(from_list)
        1    0.001    0.001    0.011    0.011 _constrained_layout.py:16(<module>)
        2    0.003    0.001    0.011    0.006 __init__.py:45(<module>)
        1    0.003    0.003    0.011    0.011 dist.py:5(<module>)
       72    0.011    0.000    0.011    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
        1    0.001    0.001    0.011    0.011 utils.py:4(<module>)
        2    0.000    0.000    0.011    0.005 cm.py:208(to_rgba)
        2    0.001    0.000    0.010    0.005 colors.py:460(__call__)
        1    0.002    0.002    0.010    0.010 npyio.py:1(<module>)
       12    0.003    0.000    0.010    0.001 artist.py:1149(_get_setters_and_targets)
        1    0.004    0.004    0.010    0.010 legend.py:22(<module>)
        2    0.000    0.000    0.010    0.005 axis.py:1896(_update_label_position)
      633    0.004    0.000    0.010    0.000 colors.py:179(_to_rgba_no_colorcycle)
        1    0.002    0.002    0.010    0.010 font_manager.py:21(<module>)
19854/19850    0.006    0.000    0.010    0.000 {isinstance}
        1    0.003    0.003    0.009    0.009 tempfile.py:18(<module>)
        2    0.003    0.001    0.009    0.005 __init__.py:3(<module>)
       18    0.000    0.000    0.009    0.001 rcsetup.py:807(validate_cycler)
       96    0.001    0.000    0.009    0.000 functools_lru_cache.py:131(wrapper)
      456    0.001    0.000    0.009    0.000 rcsetup.py:375(validate_color)
        2    0.000    0.000    0.009    0.004 axis.py:1877(_get_tick_boxes_siblings)
     1221    0.002    0.000    0.008    0.000 {any}
        4    0.008    0.002    0.008    0.002 {matplotlib._image.resample}
        1    0.000    0.000    0.008    0.008 __init__.py:995(rc_params)
       11    0.000    0.000    0.008    0.001 pyparsing.py:1895(parseString)
       27    0.000    0.000    0.008    0.000 pyparsing.py:3278(__init__)
      154    0.001    0.000    0.008    0.000 deprecation.py:163(deprecate)
        2    0.000    0.000    0.008    0.004 axis.py:2265(_update_label_position)
        1    0.001    0.001    0.008    0.008 financial.py:12(<module>)
        1    0.001    0.001    0.008    0.008 subprocess.py:14(<module>)
       64    0.002    0.000    0.008    0.000 lines.py:649(recache)
        1    0.002    0.002    0.008    0.008 mlab.py:163(<module>)
      6/4    0.000    0.000    0.008    0.002 axis.py:670(__get__)
        1    0.002    0.002    0.008    0.008 artist.py:1(<module>)
        1    0.003    0.003    0.007    0.007 gridspec.py:14(<module>)
       24    0.000    0.000    0.007    0.000 rcsetup.py:456(validate_font_properties)
     2817    0.007    0.000    0.007    0.000 {numpy.array}
        1    0.002    0.002    0.007    0.007 __init__.py:41(<module>)
      397    0.001    0.000    0.007    0.000 artist.py:1120(get_valid_values)
      144    0.001    0.000    0.007    0.000 rcsetup.py:78(f)
      456    0.001    0.000    0.007    0.000 colors.py:115(is_color_like)
        1    0.001    0.001    0.007    0.007 index_tricks.py:1(<module>)
     4776    0.002    0.000    0.007    0.000 sre_parse.py:213(get)
       39    0.000    0.000    0.007    0.000 _abcoll.py:548(update)
        1    0.001    0.001    0.007    0.007 _parser.py:30(<module>)
   260/11    0.001    0.000    0.007    0.001 pyparsing.py:1641(_parseNoCache)
        1    0.004    0.004    0.007    0.007 __init__.py:15(<module>)
        4    0.000    0.000    0.007    0.002 axis.py:2121(get_tick_space)
    63/11    0.000    0.000    0.007    0.001 pyparsing.py:4032(parseImpl)
        2    0.000    0.000    0.007    0.003 axis.py:2246(_get_tick_boxes_siblings)
       29    0.000    0.000    0.007    0.000 __init__.py:896(__init__)
        9    0.000    0.000    0.007    0.001 fontconfig_pattern.py:121(parse)
        1    0.000    0.000    0.007    0.007 mathtext.py:2209(Parser)
        1    0.005    0.005    0.007    0.007 subprocess32.py:38(<module>)
        1    0.004    0.004    0.007    0.007 random.py:40(<module>)
      769    0.007    0.000    0.007    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.007    0.007 mathtext.py:2756(<lambda>)
